# P, Pc, E, M, R, EoS
9.999842534716354052e-13 5.000000000000000000e-01 8.609053449808318703e+01 8.258726993622736434e-02 3.840399999978305345e+02 APR_1
9.991892079464180407e-13 5.999999999999999778e-01 9.159741272710009241e+01 8.422846558458799149e-02 1.101550000001619196e+02 APR_1
9.977973494527634130e-13 6.999999999999999556e-01 9.652735759061764043e+01 8.853101848657224382e-02 6.391899999994173243e+01 APR_1
9.983087082159690825e-13 7.999999999999999334e-01 1.010118549306673401e+02 9.368071829109955728e-02 4.596599999998357333e+01 APR_1
9.900640906609122428e-13 8.999999999999999112e-01 1.051401009744858754e+02 9.925492207369863984e-02 3.669500000000518014e+01 APR_1
9.934113179668021910e-13 9.999999999999998890e-01 1.089757199639999925e+02 1.050589300661793207e-01 3.112700000001505884e+01 APR_1
9.881588221059618411e-13 1.099999999999999867e+00 1.125658797468612846e+02 1.109852307522777859e-01 2.745300000001056873e+01 APR_1
9.874389573845087895e-13 1.199999999999999734e+00 1.159466340431699223e+02 1.169695373436738378e-01 2.486600000000740707e+01 APR_1
9.726068741601738296e-13 1.299999999999999822e+00 1.191462350054014223e+02 1.229716245304274536e-01 2.295600000000507279e+01 APR_1
9.710589316943909633e-13 1.399999999999999911e+00 1.221872826430569177e+02 1.289656219533998338e-01 2.149300000000328481e+01 APR_1
9.679098533618401044e-13 1.499999999999999778e+00 1.250881726561018468e+02 1.349345896463393368e-01 2.034100000000187691e+01 APR_1
9.600706454275426140e-13 1.599999999999999645e+00 1.278641027415189342e+02 1.408673637168912363e-01 1.941200000000074155e+01 APR_1
9.701565675501654503e-13 1.699999999999999734e+00 1.305277909331479691e+02 1.467565863148980188e-01 1.864899999999980906e+01 APR_1
9.947012206504170532e-13 1.799999999999999822e+00 1.330900003079129590e+02 1.525974812347554443e-01 1.801199999999903056e+01 APR_1
9.450445391185779634e-13 1.899999999999999689e+00 1.355599300078321221e+02 1.583870394557488903e-01 1.747399999999837306e+01 APR_1
9.963337572531325958e-13 1.999999999999999556e+00 1.379455118139932779e+02 1.641234848286909631e-01 1.701199999999780843e+01 APR_1
9.902186360525585468e-13 2.099999999999999645e+00 1.402536386228385368e+02 1.698059016462882820e-01 1.661399999999732202e+01 APR_1
9.741415814207431558e-13 2.199999999999999734e+00 1.424903429290164354e+02 1.754339881377616206e-01 1.626699999999689794e+01 APR_1
