# P, Pc, E, M, R, EoS
9.999816353099412645e-13 5.000000000000000000e-01 8.107755650260232017e+01 8.484926809904086431e-02 1.546070000003741711e+02 BGP
9.977983258246244425e-13 5.999999999999999778e-01 8.619323247364799556e+01 8.935747072303716620e-02 7.316499999998529802e+01 BGP
9.982534381570644145e-13 6.999999999999999556e-01 9.076970767960231967e+01 9.524680705377130963e-02 4.899999999997650235e+01 BGP
9.924537638094580379e-13 7.999999999999999334e-01 9.493018519574899017e+01 1.017367518157822059e-01 3.787000000000244171e+01 BGP
9.855850373188597716e-13 8.999999999999999112e-01 9.875818516878507580e+01 1.085288891926578375e-01 3.160500000001564302e+01 BGP
9.875084364629235253e-13 9.999999999999998890e-01 1.023132475000000028e+02 1.154712810861100863e-01 2.763900000001079604e+01 BGP
9.847024701658390164e-13 1.099999999999999867e+00 1.056394887429556775e+02 1.224779671983908524e-01 2.492700000000748162e+01 BGP
9.955528221054280093e-13 1.199999999999999734e+00 1.087706142374079405e+02 1.294975657990566076e-01 2.296700000000508624e+01 BGP
9.717647863047698857e-13 1.299999999999999822e+00 1.117330244706305393e+02 1.364983426403466871e-01 2.149200000000328359e+01 BGP
9.658774876816179277e-13 1.399999999999999911e+00 1.145478298306699401e+02 1.434603451381187833e-01 2.034500000000188180e+01 BGP
9.537951084773201521e-13 1.499999999999999778e+00 1.172322071888102073e+02 1.503709578333128627e-01 1.943100000000076477e+01 BGP
9.741346827834586473e-13 1.599999999999999645e+00 1.198003424391997243e+02 1.572222588499840035e-01 1.868599999999985428e+01 BGP
9.683076933902933842e-13 1.699999999999999734e+00 1.222641030923072094e+02 1.640094123239339841e-01 1.806999999999910145e+01 BGP
9.277307671838425275e-13 1.799999999999999822e+00 1.246335294114747967e+02 1.707296380139343428e-01 1.755299999999846960e+01 BGP
9.843819263256132677e-13 1.899999999999999689e+00 1.269172003102675035e+02 1.773815483967317586e-01 1.711199999999793064e+01 BGP
9.508381013023002815e-13 1.999999999999999556e+00 1.291225107935183019e+02 1.839646998640724063e-01 1.673399999999746868e+01 BGP
9.502169319417027360e-13 2.099999999999999645e+00 1.312558856379419012e+02 1.904792965064026899e-01 1.640599999999706782e+01 BGP
9.377320787419698779e-13 2.199999999999999734e+00 1.333229462753990617e+02 1.969259843371694296e-01 1.611899999999671707e+01 BGP
9.571381549092497284e-13 2.299999999999999822e+00 1.353286427693395240e+02 2.033057064581707263e-01 1.586599999999664590e+01 BGP
9.261255193015572580e-13 2.399999999999999467e+00 1.372773593722968997e+02 2.096196112992385896e-01 1.564199999999677004e+01 BGP
9.854183304923064985e-13 2.499999999999999556e+00 1.391729998235766459e+02 2.158689661374220137e-01 1.544199999999688089e+01 BGP
