# P, Pc, E, M, R, EoS
9.996574652193925669e-13 5.000000000000000000e-01 8.019061275192655103e+01 8.619327991768019337e-02 1.282350000002482489e+02 BL_1
9.973584147879335062e-13 5.999999999999999778e-01 8.558698662975477589e+01 9.110334266367668687e-02 6.721399999995688290e+01 BL_1
9.984284858330791531e-13 6.999999999999999556e-01 9.043534595847722812e+01 9.709841640567239140e-02 4.679199999998164827e+01 BL_1
9.971754367496027808e-13 7.999999999999999334e-01 9.485959540333460893e+01 1.035582033273363817e-01 3.690300000000469538e+01 BL_1
9.980740893731229756e-13 8.999999999999999112e-01 9.894397421444320173e+01 1.102319415168214745e-01 3.117200000001511384e+01 BL_1
9.944331385716125121e-13 9.999999999999998890e-01 1.027486860000000064e+02 1.169921358710630521e-01 2.747300000001059317e+01 BL_1
9.860886642691324615e-13 1.099999999999999867e+00 1.063184383049447064e+02 1.237678435317979692e-01 2.490600000000745595e+01 BL_1
9.979193938314087352e-13 1.199999999999999734e+00 1.096874561109418096e+02 1.305177380333392423e-01 2.302900000000516201e+01 BL_1
9.935972377844206291e-13 1.299999999999999822e+00 1.128825954069593394e+02 1.372172173717547128e-01 2.160300000000341925e+01 BL_1
9.591415976566155053e-13 1.399999999999999911e+00 1.159253663468222300e+02 1.438515980103208802e-01 2.048600000000205412e+01 BL_1
9.739439154224784046e-13 1.499999999999999778e+00 1.188332977818676710e+02 1.504122818933842642e-01 1.958800000000095665e+01 BL_1
9.973442040374648040e-13 1.599999999999999645e+00 1.216208867894011831e+02 1.568945002151686530e-01 1.885200000000005716e+01 BL_1
9.542383954702015130e-13 1.699999999999999734e+00 1.243002772221187939e+02 1.632959471029777898e-01 1.823999999999930921e+01 BL_1
9.953958824963808683e-13 1.799999999999999822e+00 1.268817558530451493e+02 1.696159049269012342e-01 1.772199999999867615e+01 BL_1
9.721001648290063407e-13 1.899999999999999689e+00 1.293741224641235874e+02 1.758546972845337342e-01 1.727999999999813596e+01 BL_1
9.877148243429732237e-13 1.999999999999999556e+00 1.317849707933154093e+02 1.820133220205077396e-01 1.689799999999766911e+01 BL_1
9.933335748130404330e-13 2.099999999999999645e+00 1.341209051540530197e+02 1.880932112792991773e-01 1.656499999999726214e+01 BL_1
9.997177770824801361e-13 2.199999999999999734e+00 1.363877097901761033e+02 1.940960684718292528e-01 1.627199999999690405e+01 BL_1
9.034769478892658631e-13 2.299999999999999822e+00 1.385904829396177433e+02 2.000237463303207175e-01 1.601399999999658874e+01 BL_1
9.474601808959509331e-13 2.399999999999999467e+00 1.407337441623131440e+02 2.058781883697942128e-01 1.578299999999669190e+01 BL_1
9.009510470410326897e-13 2.499999999999999556e+00 1.428215211464204515e+02 2.116613777023386711e-01 1.557699999999680607e+01 BL_1
9.031487788900643622e-13 2.599999999999999645e+00 1.448574205737195086e+02 2.173752759814614466e-01 1.539099999999690915e+01 BL_1
9.707190784936710271e-13 2.699999999999999289e+00 1.468446864669697618e+02 2.230218297089246737e-01 1.522199999999700282e+01 BL_1
8.839231691518767396e-13 2.799999999999999378e+00 1.487862486084594593e+02 2.286029391306331759e-01 1.506999999999708706e+01 BL_1
9.714041336264701519e-13 2.899999999999999467e+00 1.506847630107488953e+02 2.341204554046874831e-01 1.492999999999716465e+01 BL_1
9.187681739565254791e-13 2.999999999999999556e+00 1.525426459711661948e+02 2.395761655565661341e-01 1.480299999999723504e+01 BL_1
9.089893399819797308e-13 3.099999999999999645e+00 1.543621029056253917e+02 2.449717941401513555e-01 1.468599999999729988e+01 BL_1
9.992884999936352113e-13 3.199999999999999289e+00 1.561451529034464443e+02 2.503090072649237219e-01 1.457799999999735974e+01 BL_1
8.885910693122140881e-13 3.299999999999999378e+00 1.578936497510835011e+02 2.555893972227681332e-01 1.447899999999741460e+01 BL_1
8.872112605998911443e-13 3.399999999999999467e+00 1.596093000233930184e+02 2.608145013687135361e-01 1.438699999999746559e+01 BL_1
8.576161464750777952e-13 3.499999999999999112e+00 1.612936787250813779e+02 2.659857922161417143e-01 1.430199999999751270e+01 BL_1
9.219984401583323227e-13 3.599999999999999201e+00 1.629482428741048921e+02 2.711046795598997527e-01 1.422199999999755704e+01 BL_1
9.385586784993464181e-13 3.699999999999999289e+00 1.645743433470707942e+02 2.761725236917371151e-01 1.414799999999759805e+01 BL_1
8.636602055122776735e-13 3.799999999999999378e+00 1.661732352496662770e+02 2.811906187008713642e-01 1.407899999999763629e+01 BL_1
9.219161950014168278e-13 3.899999999999999467e+00 1.677460870295042525e+02 2.861602122978522678e-01 1.401399999999767232e+01 BL_1
9.950835716112006510e-13 3.999999999999999112e+00 1.692939885120170800e+02 2.910824994147832578e-01 1.395299999999770613e+01 BL_1
8.436172300461003249e-13 4.099999999999999645e+00 1.708179580102433022e+02 2.959586260223294185e-01 1.389699999999773716e+01 BL_1
9.333818945756408468e-13 4.199999999999999289e+00 1.723189486350831601e+02 3.007896947056941661e-01 1.384299999999776709e+01 BL_1
8.391884453356597878e-13 4.299999999999998934e+00 1.737978539127132365e+02 3.055767643650219578e-01 1.379299999999779480e+01 BL_1
9.374826165775456861e-13 4.399999999999998579e+00 1.752555127994790780e+02 3.103208483567790887e-01 1.374499999999782140e+01 BL_1
9.027703645899732024e-13 4.499999999999999112e+00 1.766927141710359592e+02 3.150229249404182807e-01 1.369999999999784634e+01 BL_1
8.082737879351101424e-13 4.599999999999998757e+00 1.781102008512472707e+02 3.196839304842187812e-01 1.365799999999786962e+01 BL_1
9.627145114093367394e-13 4.699999999999999289e+00 1.795086732369498179e+02 3.243047724081918881e-01 1.361699999999789235e+01 BL_1
7.903184332631640556e-13 4.799999999999998934e+00 1.808887925668101957e+02 3.288863174036555370e-01 1.357999999999791285e+01 BL_1
9.600931168860508618e-13 4.899999999999998579e+00 1.822511838758658484e+02 3.334294035012886348e-01 1.354299999999793336e+01 BL_1
8.750027341914865387e-13 4.999999999999999112e+00 1.835964386717357684e+02 3.379348375354135903e-01 1.350899999999795220e+01 BL_1
9.930655232779815905e-13 5.099999999999998757e+00 1.849251173637331647e+02 3.424033971641016194e-01 1.347599999999797049e+01 BL_1
9.440847575675764070e-13 5.199999999999999289e+00 1.862377514720676004e+02 3.468358330750662688e-01 1.344499999999798767e+01 BL_1
