# P, Pc, E, M, R, EoS
9.999932308810581712e-13 5.000000000000000000e-01 8.789178427356327461e+01 8.584315808305230389e-02 1.196319999978622718e+03 HHJ_2
9.999778241378355674e-13 5.999999999999999778e-01 9.312875626819879926e+01 8.214343573732119097e-02 1.428820000003181860e+02 HHJ_2
9.994647496225352115e-13 6.999999999999999556e-01 9.780758601297681309e+01 8.594874798202720156e-02 7.290599999998406133e+01 HHJ_2
9.970277102312862570e-13 7.999999999999999334e-01 1.020572690489833576e+02 9.088085125229974914e-02 4.972699999997480802e+01 HHJ_2
9.923055795803713890e-13 8.999999999999999112e-01 1.059649646094377289e+02 9.636206696488035239e-02 3.857600000000079632e+01 HHJ_2
9.886470893325117840e-13 9.999999999999998890e-01 1.095926299999999998e+02 1.021506974331267692e-01 3.215300000001576564e+01 HHJ_2
9.966826641529149437e-13 1.099999999999999867e+00 1.129860578228414880e+02 1.081158634298733656e-01 2.803000000001127390e+01 HHJ_2
9.938349729854545905e-13 1.199999999999999734e+00 1.161801554918641557e+02 1.141792111015214328e-01 2.518600000000779815e+01 HHJ_2
9.950128547869324210e-13 1.299999999999999822e+00 1.192022096374855238e+02 1.202912079466352951e-01 2.311800000000527078e+01 HHJ_2
9.840774142833752524e-13 1.399999999999999911e+00 1.220739988961987734e+02 1.264194498949455792e-01 2.155500000000336058e+01 HHJ_2
9.677570279696805924e-13 1.499999999999999778e+00 1.248132137715709860e+02 1.325422193653154890e-01 2.033700000000187202e+01 HHJ_2
9.935338541241986484e-13 1.599999999999999645e+00 1.274344414012865769e+02 1.386447451925110208e-01 1.936300000000068167e+01 HHJ_2
9.521581706104729920e-13 1.699999999999999734e+00 1.299498671403213450e+02 1.447168685679812439e-01 1.856999999999971251e+01 HHJ_2
9.663791929178232923e-13 1.799999999999999822e+00 1.323697860914038245e+02 1.507515934772309385e-01 1.791199999999890835e+01 HHJ_2
9.311383095927560456e-13 1.899999999999999689e+00 1.347029836575963202e+02 1.567441198700675886e-01 1.735999999999823373e+01 HHJ_2
9.589549258964265794e-13 1.999999999999999556e+00 1.369570237133507078e+02 1.626912011618509291e-01 1.688899999999765811e+01 HHJ_2
9.452496157909629214e-13 2.099999999999999645e+00 1.391384702723301245e+02 1.685907051960939818e-01 1.648499999999716437e+01 HHJ_2
9.466522793377614974e-13 2.199999999999999734e+00 1.412530604045948905e+02 1.744413020101446277e-01 1.613399999999673540e+01 HHJ_2
9.739346215483674730e-13 2.299999999999999822e+00 1.433058408321308264e+02 1.802422535663179282e-01 1.582699999999666751e+01 HHJ_2
9.592087423328663299e-13 2.399999999999999467e+00 1.453012770648500407e+02 1.859932421773749789e-01 1.555699999999681715e+01 HHJ_2
8.939905928769901786e-13 2.499999999999999556e+00 1.472433415008227655e+02 1.916942742548794210e-01 1.531799999999694961e+01 HHJ_2
9.519760307510700190e-13 2.599999999999999645e+00 1.491355852170152048e+02 1.973455926498279833e-01 1.510399999999706822e+01 HHJ_2
