# P, Pc, E, M, R, EoS
9.999624452309066501e-13 5.000000000000000000e-01 7.443985216074447919e+01 8.989046602914126105e-02 8.758900000005417041e+01 MDI_3
9.957420557034902224e-13 5.999999999999999778e-01 7.868261929321626269e+01 9.734225675186637672e-02 5.145499999997078078e+01 MDI_3
9.999546687504160787e-13 6.999999999999999556e-01 8.250320649310535259e+01 1.058186829386951466e-01 3.787600000000242773e+01 MDI_3
9.868988521122910253e-13 7.999999999999999334e-01 8.599899825600249414e+01 1.147581422517603283e-01 3.098600000001488652e+01 MDI_3
9.948832571305106988e-13 8.999999999999999112e-01 8.923570524196809117e+01 1.239038435654012393e-01 2.689400000000988555e+01 MDI_3
9.865663011039488543e-13 9.999999999999998890e-01 9.225999999999999091e+01 1.331195467407521038e-01 2.421700000000661390e+01 MDI_3
9.786615403722587331e-13 1.099999999999999867e+00 9.510636361396410621e+01 1.423278107881304488e-01 2.234500000000432607e+01 MDI_3
9.980382572924962303e-13 1.199999999999999734e+00 9.780107727267377982e+01 1.514828921487190727e-01 2.097000000000264563e+01 MDI_3
9.962125990287675190e-13 1.299999999999999822e+00 1.003646863285297002e+02 1.605572455469425619e-01 1.992400000000136728e+01 MDI_3
9.427499756612492948e-13 1.399999999999999911e+00 1.028135930431016476e+02 1.695342619601754031e-01 1.910500000000036636e+01 MDI_3
9.872098277835474695e-13 1.499999999999999778e+00 1.051611258729237619e+02 1.784041241149323387e-01 1.844699999999956219e+01 MDI_3
9.229998979321267719e-13 1.599999999999999645e+00 1.074182804919354339e+02 1.871613471304812426e-01 1.791099999999890713e+01 MDI_3
9.556668849550858753e-13 1.699999999999999734e+00 1.095942473882411861e+02 1.958032695498751197e-01 1.746499999999836206e+01 MDI_3
9.372363343130270442e-13 1.799999999999999822e+00 1.116967963512846609e+02 2.043290882817807019e-01 1.708999999999790376e+01 MDI_3
9.460219480039743641e-13 1.899999999999999689e+00 1.137325624050863979e+02 2.127392186928725171e-01 1.677099999999751390e+01 MDI_3
9.245549817353700159e-13 1.999999999999999556e+00 1.157072622714771057e+02 2.210349088060344080e-01 1.649699999999717903e+01 MDI_3
9.568049271415283361e-13 2.099999999999999645e+00 1.176258608485345007e+02 2.292179288705835927e-01 1.625899999999688816e+01 MDI_3
