# P, Pc, E, M, R, EoS
9.413947728493554694e-13 5.000000000000000000e-01 4.121711699008147178e+01 2.939293842524812184e-01 2.494200000000749995e+01 PS
9.474681453254472047e-13 5.999999999999999778e-01 4.823509248411660622e+01 3.137436033302149485e-01 2.433200000000675445e+01 PS
9.313451469468877611e-13 6.999999999999999556e-01 5.498434030235583236e+01 3.274191859817940919e-01 2.387200000000619227e+01 PS
9.634110363752710753e-13 7.999999999999999334e-01 6.147543619531349890e+01 3.373553217125189185e-01 2.349300000000572908e+01 PS
9.251305287768440902e-13 8.999999999999999112e-01 6.771853970022297631e+01 3.448691428177192986e-01 2.316700000000533066e+01 PS
9.949156992736153712e-13 9.999999999999998890e-01 7.372341052129426942e+01 3.507406033116363120e-01 2.287700000000497624e+01 PS
9.813169284360906394e-13 1.099999999999999867e+00 7.949942426531409012e+01 3.554587562455290284e-01 2.261600000000465727e+01 PS
9.231195952269545877e-13 1.199999999999999734e+00 8.505558755797326853e+01 3.593445126491138231e-01 2.237700000000436518e+01 PS
9.042644126246457268e-13 1.299999999999999822e+00 9.040055256527352867e+01 3.626163743789911909e-01 2.215500000000409386e+01 PS
9.701239213231267970e-13 1.399999999999999911e+00 9.554263094344466367e+01 3.654277237042729554e-01 2.194700000000383966e+01 PS
9.573563872628748306e-13 1.499999999999999778e+00 1.004898072398594735e+02 3.678890733066753072e-01 2.175200000000360134e+01 PS
9.841042329209684876e-13 1.599999999999999645e+00 1.052497517665406974e+02 3.700818082368644846e-01 2.156700000000337525e+01 PS
9.612346741005495376e-13 1.699999999999999734e+00 1.098298329670324307e+02 3.720670378340029671e-01 2.139200000000316138e+01 PS
8.906651705088257136e-13 1.799999999999999822e+00 1.142371292965671614e+02 3.738914079743260177e-01 2.122500000000295728e+01 PS
9.888335193915241548e-13 1.899999999999999689e+00 1.184784406346793304e+02 3.755910805789939300e-01 2.106400000000276052e+01 PS
9.404364980277748119e-13 1.999999999999999556e+00 1.225602992486788736e+02 3.771944399937263159e-01 2.091000000000257231e+01 PS
9.277776522364227033e-13 2.099999999999999645e+00 1.264889803256410090e+02 3.787240413933684602e-01 2.076200000000239143e+01 PS
9.872574956992712508e-13 2.199999999999999734e+00 1.302705120899164513e+02 3.801979902088548080e-01 2.061800000000221544e+01 PS
9.047689282679931718e-13 2.299999999999999822e+00 1.339106855224551680e+02 3.816309710125112553e-01 2.048000000000204679e+01 PS
9.599378969013069534e-13 2.399999999999999467e+00 1.374150636976221165e+02 3.830349865091042805e-01 2.034500000000188180e+01 PS
8.885513199938670293e-13 2.499999999999999556e+00 1.407889907525645867e+02 3.844199303662572675e-01 2.021500000000172292e+01 PS
9.141258892648705277e-13 2.599999999999999645e+00 1.440376005035789433e+02 3.857940082047962571e-01 2.008800000000156771e+01 PS
9.673334311570171449e-13 2.699999999999999289e+00 1.471658247233827979e+02 3.871640762876574771e-01 1.996400000000141617e+01 PS
9.017577555514203292e-13 2.799999999999999378e+00 1.501784010926220105e+02 3.885358871744623577e-01 1.984400000000126951e+01 PS
9.599385879452112235e-13 2.899999999999999467e+00 1.530798808384574556e+02 3.899143056960007736e-01 1.972600000000112530e+01 PS
9.435441618641434924e-13 2.999999999999999556e+00 1.558746360725158411e+02 3.913034492565478639e-01 1.961100000000098476e+01 PS
9.607608848231550289e-13 3.099999999999999645e+00 1.585668668400663819e+02 3.927068181280216064e-01 1.949900000000084788e+01 PS
8.737253504419059907e-13 3.199999999999999289e+00 1.611606078917610319e+02 3.941274087931730397e-01 1.939000000000071466e+01 PS
9.519504241889145135e-13 3.299999999999999378e+00 1.636597351888817400e+02 3.955677805540386283e-01 1.928200000000058267e+01 PS
9.072289753128012734e-13 3.399999999999999467e+00 1.660679721525621630e+02 3.970301295325390778e-01 1.917700000000045435e+01 PS
8.728720701184748809e-13 3.499999999999999112e+00 1.683888956670730295e+02 3.985163391951600520e-01 1.907400000000032847e+01 PS
9.099316062309133117e-13 3.599999999999999201e+00 1.706259418468455067e+02 4.000280282238486418e-01 1.897300000000020503e+01 PS
8.777778651979141912e-13 3.699999999999999289e+00 1.727824115765286592e+02 4.015665838894529327e-01 1.887400000000008404e+01 PS
9.055976784516972357e-13 3.799999999999999378e+00 1.748614758330144525e+02 4.031331999285448497e-01 1.877699999999996550e+01 PS
8.520295662957176702e-13 3.899999999999999467e+00 1.768661807980173819e+02 4.047288931502364129e-01 1.868199999999984939e+01 PS
9.319784588511273454e-13 3.999999999999999112e+00 1.787994527694445708e+02 4.063545321280811473e-01 1.858799999999973451e+01 PS
9.177396509848099001e-13 4.099999999999999645e+00 1.806641028794709598e+02 4.080108487626911140e-01 1.849599999999962208e+01 PS
8.791803195571844685e-13 4.199999999999999289e+00 1.824628316269379411e+02 4.096984636350677889e-01 1.840599999999951208e+01 PS
9.693858838343576187e-13 4.299999999999998934e+00 1.841982332313800441e+02 4.114178906996273644e-01 1.831699999999940331e+01 PS
8.616147693359152190e-13 4.399999999999998579e+00 1.858727998156911951e+02 4.131695539625721003e-01 1.823099999999929821e+01 PS
9.663914841672104868e-13 4.499999999999999112e+00 1.874889254241814740e+02 4.149537905921917846e-01 1.814499999999919311e+01 PS
9.528902807359839419e-13 4.599999999999998757e+00 1.890489098825039775e+02 4.167708700031930724e-01 1.806099999999909045e+01 PS
8.927060400445017474e-13 4.699999999999999289e+00 1.905549625056709147e+02 4.186209912128734945e-01 1.797899999999899023e+01 PS
9.558969781252556349e-13 4.799999999999998934e+00 1.920092056601417880e+02 4.205042968840542184e-01 1.789799999999889124e+01 PS
8.851631140469979033e-13 4.899999999999998579e+00 1.934136781857151561e+02 4.224208732892846263e-01 1.781899999999879469e+01 PS
8.526185266875493357e-13 4.999999999999999112e+00 1.947703386827655834e+02 4.243707572401432260e-01 1.774099999999869937e+01 PS
9.373041246603775462e-13 5.099999999999998757e+00 1.960810686700934582e+02 4.263539434205157463e-01 1.766399999999860526e+01 PS
8.786532520572015713e-13 5.199999999999999289e+00 1.973476756185107206e+02 4.283703843530755617e-01 1.758899999999851360e+01 PS
8.514559441790058045e-13 5.299999999999998934e+00 1.985718958650252546e+02 4.304199973490752673e-01 1.751499999999842316e+01 PS
9.423547759795482994e-13 5.399999999999998579e+00 1.997553974123471789e+02 4.325026631783592257e-01 1.744199999999833395e+01 PS
8.756411809040621709e-13 5.499999999999999112e+00 2.008997826182159372e+02 4.346182369238954513e-01 1.737099999999824718e+01 PS
8.379172196059844491e-13 5.599999999999998757e+00 2.020065907788816446e+02 4.367665371749002157e-01 1.730099999999816163e+01 PS
8.271301328205436615e-13 5.699999999999999289e+00 2.030773006109227481e+02 4.389473650957583795e-01 1.723199999999807730e+01 PS
9.270501162655154116e-13 5.799999999999998934e+00 2.041133326353812549e+02 4.411604942966038667e-01 1.716399999999799419e+01 PS
8.580883793046329665e-13 5.899999999999998579e+00 2.051160514680788367e+02 4.434056752808250290e-01 1.709799999999791353e+01 PS
8.107573114901487208e-13 5.999999999999999112e+00 2.060867680197859499e+02 4.456826426993918955e-01 1.703299999999783410e+01 PS
9.832360028233823765e-13 6.099999999999998757e+00 2.070267416098084254e+02 4.479911080269451396e-01 1.696799999999775466e+01 PS
8.613244744928118321e-13 6.199999999999998401e+00 2.079371819963966459e+02 4.503307710659273377e-01 1.690599999999767888e+01 PS
8.640059555242468152e-13 6.299999999999998934e+00 2.088192513272359747e+02 4.527013117856965585e-01 1.684399999999760311e+01 PS
9.877515945897002192e-13 6.399999999999998579e+00 2.096740660131867742e+02 4.551024002226898846e-01 1.678299999999752856e+01 PS
9.076539768693458372e-13 6.499999999999998224e+00 2.105026985282748626e+02 4.575336871394794502e-01 1.672399999999745646e+01 PS
8.416131241421014942e-13 6.599999999999998757e+00 2.113061791388418271e+02 4.599948199718986719e-01 1.666599999999738557e+01 PS
7.867357813328217882e-13 6.699999999999998401e+00 2.120854975646541618e+02 4.624854290120024025e-01 1.660899999999731591e+01 PS
9.529440161903173363e-13 6.799999999999998934e+00 2.128416045746262739e+02 4.650051430782032869e-01 1.655199999999724625e+01 PS
9.097909825474061990e-13 6.899999999999998579e+00 2.135754135197460357e+02 4.675535709493250369e-01 1.649699999999717903e+01 PS
8.720091752240072807e-13 6.999999999999998224e+00 2.142878018056822498e+02 4.701303212997933745e-01 1.644299999999711304e+01 PS
8.372277064800182555e-13 7.099999999999998757e+00 2.149796123074176819e+02 4.727349952429659719e-01 1.638999999999704826e+01 PS
8.043555616798865520e-13 7.199999999999998401e+00 2.156516547282277543e+02 4.753671845174464727e-01 1.633799999999698471e+01 PS
7.694323640756088595e-13 7.299999999999998934e+00 2.163047069051646076e+02 4.780264781955997355e-01 1.628699999999692238e+01 PS
8.368458627694029393e-13 7.399999999999998579e+00 2.169395160631649162e+02 4.807124619754731820e-01 1.623699999999686128e+01 PS
7.924612037680776184e-13 7.499999999999998224e+00 2.175568000198032905e+02 4.834247139270026472e-01 1.618799999999680139e+01 PS
9.813308350729308114e-13 7.599999999999998757e+00 2.181572483426369615e+02 4.861628093542572637e-01 1.613899999999674151e+01 PS
9.190802098574981038e-13 7.699999999999998401e+00 2.187415234609871675e+02 4.889263199501689972e-01 1.609199999999668407e+01 PS
9.879794927156222635e-13 7.799999999999998046e+00 2.193102617339887672e+02 4.917148187997194553e-01 1.604499999999662663e+01 PS
9.032470831686203334e-13 7.899999999999998579e+00 2.198640744765835109e+02 4.945278734175444502e-01 1.599999999999657163e+01 PS
8.078522034818381588e-13 7.999999999999998224e+00 2.204035489451513286e+02 4.973650502888951608e-01 1.595599999999659602e+01 PS
8.311067123553391167e-13 8.099999999999997868e+00 2.209292492843414095e+02 5.002259155076395070e-01 1.591199999999662040e+01 PS
9.546139728156629661e-13 8.199999999999999289e+00 2.214417174366485881e+02 5.031100341015016797e-01 1.586899999999664423e+01 PS
9.399393041109748879e-13 8.299999999999997158e+00 2.219414740161868735e+02 5.060169724113382506e-01 1.582699999999666751e+01 PS
9.020963072708010075e-13 8.399999999999998579e+00 2.224290191480750138e+02 5.089462956228477664e-01 1.578599999999669024e+01 PS
8.391719047683452794e-13 8.499999999999998224e+00 2.229048332747950951e+02 5.118975696105273476e-01 1.574599999999671240e+01 PS
7.531024311576154588e-13 8.599999999999997868e+00 2.233693779308040064e+02 5.148703594226656799e-01 1.570699999999673402e+01 PS
7.757528592353289946e-13 8.699999999999997513e+00 2.238230964866753823e+02 5.178642346615961456e-01 1.566799999999675563e+01 PS
8.899041991967596380e-13 8.799999999999998934e+00 2.242664148639408950e+02 5.208787676711809089e-01 1.562999999999677669e+01 PS
