# P, Pc, E, M, R, EoS
9.999794314444238159e-13 5.000000000000000000e-01 8.583724843494135825e+01 8.272128001722836577e-02 3.224249999992875360e+02 SCVBB
9.997167082901977864e-13 5.999999999999999778e-01 9.153691021874780631e+01 8.478021884831256350e-02 1.048130000001364124e+02 SCVBB
9.985448167467818736e-13 6.999999999999999556e-01 9.665326767097916161e+01 8.909586175431029320e-02 6.257199999994487172e+01 SCVBB
9.954042725583730837e-13 7.999999999999999334e-01 1.013185303340523404e+02 9.417688287059641783e-02 4.556499999998450789e+01 SCVBB
9.959770792902438285e-13 8.999999999999999112e-01 1.056225254862784766e+02 9.963615766139916063e-02 3.662100000000535260e+01 SCVBB
9.859970875396737451e-13 9.999999999999998890e-01 1.096294139999999970e+02 1.052931062248761013e-01 3.119100000001513706e+01 SCVBB
9.905436096056954439e-13 1.099999999999999867e+00 1.133868180852942373e+02 1.110481622189147949e-01 2.757800000001072149e+01 SCVBB
9.838006344277846356e-13 1.199999999999999734e+00 1.169311773970957660e+02 1.168421535069756878e-01 2.501900000000759405e+01 SCVBB
9.901300766834656089e-13 1.299999999999999822e+00 1.202910738805511528e+02 1.226384038880245220e-01 2.312000000000527322e+01 SCVBB
9.880619770288592317e-13 1.399999999999999911e+00 1.234893913318429668e+02 1.284136104277803780e-01 2.166000000000348891e+01 SCVBB
9.844630803103252366e-13 1.499999999999999778e+00 1.265447713861231591e+02 1.341527846334142071e-01 2.050600000000207856e+01 SCVBB
9.609914366643669885e-13 1.599999999999999645e+00 1.294726263381002695e+02 1.398462712819943110e-01 1.957300000000093831e+01 SCVBB
9.660573624577256559e-13 1.699999999999999734e+00 1.322858626900914487e+02 1.454879265719627723e-01 1.880399999999999849e+01 SCVBB
9.620487700024954581e-13 1.799999999999999822e+00 1.349954100415566529e+02 1.510739530121121277e-01 1.815999999999921144e+01 SCVBB
9.994468264876889081e-13 1.899999999999999689e+00 1.376106154924298721e+02 1.566021535988892655e-01 1.761399999999854415e+01 SCVBB
9.651104791237443417e-13 1.999999999999999556e+00 1.401395429694205177e+02 1.620714362037794509e-01 1.714599999999797220e+01 SCVBB
9.820654573498126348e-13 2.099999999999999645e+00 1.425892039588503621e+02 1.674814674493141919e-01 1.673999999999747601e+01 SCVBB
9.530198032425477972e-13 2.199999999999999734e+00 1.449657378528293066e+02 1.728324426966103833e-01 1.638599999999704337e+01 SCVBB
9.154787736364587493e-13 2.299999999999999822e+00 1.472745546815668547e+02 1.781249260188635664e-01 1.607399999999666207e+01 SCVBB
9.586451261064374463e-13 2.399999999999999467e+00 1.495204493565651092e+02 1.833597330946556969e-01 1.579699999999668414e+01 SCVBB
9.208340354531350446e-13 2.499999999999999556e+00 1.517076940508576683e+02 1.885378386474899914e-01 1.554999999999682103e+01 SCVBB
9.728404172450017866e-13 2.599999999999999645e+00 1.538401135999419296e+02 1.936603377297935469e-01 1.532799999999694407e+01 SCVBB
9.793126020506692735e-13 2.699999999999999289e+00 1.559211475717155508e+02 1.987283932686109145e-01 1.512799999999705491e+01 SCVBB
9.889076002967711404e-13 2.799999999999999378e+00 1.579539017647420280e+02 2.037432008625792434e-01 1.494699999999715523e+01 SCVBB
9.125529808546699566e-13 2.899999999999999467e+00 1.599411912456080245e+02 2.087059744562665131e-01 1.478299999999724612e+01 SCVBB
