# P, Pc, E, M, R, EoS
9.996490414061527755e-13 5.000000000000000000e-01 7.483979511904098558e+01 8.988711133798267527e-02 8.810600000005663901e+01 W
9.983425025820905225e-13 5.999999999999999778e-01 7.917967559441929382e+01 9.713504129293594469e-02 5.199599999996951993e+01 W
9.954105885969061484e-13 6.999999999999999556e-01 8.304763802208695722e+01 1.053924915041915544e-01 3.828700000000146986e+01 W
9.919798685484741902e-13 7.999999999999999334e-01 8.655316460230953624e+01 1.141254137445501943e-01 3.129100000001525927e+01 W
9.833872545545078900e-13 8.999999999999999112e-01 8.977016152263502136e+01 1.230896888257942967e-01 2.712300000001016542e+01 W
9.939977894609222568e-13 9.999999999999998890e-01 9.275112199999999518e+01 1.321552198054367078e-01 2.438800000000682289e+01 W
9.687978554092093242e-13 1.099999999999999867e+00 9.553481493213692488e+01 1.412474079521374437e-01 2.247300000000448250e+01 W
9.846139283347528163e-13 1.199999999999999734e+00 9.815077350971948533e+01 1.503215773187867588e-01 2.106500000000276174e+01 W
9.654715583787365983e-13 1.299999999999999822e+00 1.006220688812414465e+02 1.593502678418456664e-01 1.999300000000145161e+01 W
9.973494546082848593e-13 1.399999999999999911e+00 1.029671043135755468e+02 1.683163823325964925e-01 1.915200000000042380e+01 W
9.425862232806618467e-13 1.499999999999999778e+00 1.052008202969848867e+02 1.772092835511046294e-01 1.847899999999960130e+01 W
9.669179383659158333e-13 1.599999999999999645e+00 1.073355299602955171e+02 1.860224908598527849e-01 1.792799999999892790e+01 W
9.164104664396031617e-13 1.699999999999999734e+00 1.093815139808095012e+02 1.947522408898581248e-01 1.747199999999837061e+01 W
9.400198348676883139e-13 1.799999999999999822e+00 1.113474541533378073e+02 2.033965866679135204e-01 1.708799999999790131e+01 W
9.374067716562139548e-13 1.899999999999999689e+00 1.132407558133155163e+02 2.119547936240876451e-01 1.676199999999750290e+01 W
9.291882996202282037e-13 1.999999999999999556e+00 1.150677918961300605e+02 2.204269643962057379e-01 1.648199999999716070e+01 W
9.269334588473290948e-13 2.099999999999999645e+00 1.168340906046231851e+02 2.288137491449319105e-01 1.623999999999686494e+01 W
8.929194871285077575e-13 2.199999999999999734e+00 1.185444817524158765e+02 2.371161952736974277e-01 1.602899999999660707e+01 W
9.936125557055492618e-13 2.299999999999999822e+00 1.202032123287816603e+02 2.453355853797539732e-01 1.584299999999665864e+01 W
9.046542843335532600e-13 2.399999999999999467e+00 1.218140388020407840e+02 2.534733714778891200e-01 1.567999999999674898e+01 W
9.223010888330959071e-13 2.499999999999999556e+00 1.233803016085535376e+02 2.615311181387395267e-01 1.553499999999682935e+01 W
8.691184415042201331e-13 2.599999999999999645e+00 1.249049858338402714e+02 2.695104250384363076e-01 1.540599999999690084e+01 W
9.404307197406839611e-13 2.699999999999999289e+00 1.263907710731145357e+02 2.774129305388243205e-01 1.528999999999696513e+01 W
9.351524086169600405e-13 2.799999999999999378e+00 1.278400727264305772e+02 2.852402712036866683e-01 1.518599999999702277e+01 W
9.605710930646588913e-13 2.899999999999999467e+00 1.292550764505172083e+02 2.929940672621053621e-01 1.509199999999707487e+01 W
9.001914270763624183e-13 2.999999999999999556e+00 1.306377670961760202e+02 3.006759252654468417e-01 1.500799999999712142e+01 W
9.287567712898832391e-13 3.099999999999999645e+00 1.319899531667257406e+02 3.082874022037657702e-01 1.493099999999716410e+01 W
9.664020842317601196e-13 3.199999999999999289e+00 1.333132876116604564e+02 3.158300208844810331e-01 1.486099999999720289e+01 W
8.416589080262612578e-13 3.299999999999999378e+00 1.346092856010699848e+02 3.233052797723272032e-01 1.479799999999723781e+01 W
8.603810418293851806e-13 3.399999999999999467e+00 1.358793397966861960e+02 3.307146123724910014e-01 1.473999999999726995e+01 W
9.900582804208792101e-13 3.499999999999999112e+00 1.371247335348112699e+02 3.380594202352421584e-01 1.468599999999729988e+01 W
8.588091871172952651e-13 3.599999999999999201e+00 1.383466522576906357e+02 3.453410590333302332e-01 1.463799999999732648e+01 W
9.375745470499257905e-13 3.699999999999999289e+00 1.395461934678707792e+02 3.525608412974142736e-01 1.459299999999735142e+01 W
9.793661728402737383e-13 3.799999999999999378e+00 1.407243754308454697e+02 3.597200346663955717e-01 1.455199999999737415e+01 W
9.520991992275412370e-13 3.899999999999999467e+00 1.418821448119417141e+02 3.668198668832730602e-01 1.451399999999739521e+01 W
8.015570376948591710e-13 3.999999999999999112e+00 1.430203834017459599e+02 3.738615224783785052e-01 1.447999999999741405e+01 W
9.650728361376430920e-13 4.099999999999999645e+00 1.441399140587572276e+02 3.808461489781715392e-01 1.444699999999743234e+01 W
8.232811003641625596e-13 4.199999999999999289e+00 1.452415059771105632e+02 3.877748539485660895e-01 1.441799999999744841e+01 W
9.541361011907476782e-13 4.299999999999998934e+00 1.463258793701590150e+02 3.946487117907596098e-01 1.438999999999746393e+01 W
8.558534016796155552e-13 4.399999999999998579e+00 1.473937096466760295e+02 4.014687627575042606e-01 1.436499999999747779e+01 W
9.966993795951070753e-13 4.499999999999999112e+00 1.484456311448485621e+02 4.082359996669264746e-01 1.434099999999749109e+01 W
9.844761443296672686e-13 4.599999999999998757e+00 1.494822404796072135e+02 4.149514017200572891e-01 1.431899999999750328e+01 W
9.130818338818997155e-13 4.699999999999999289e+00 1.505040995508138337e+02 4.216159087228443791e-01 1.429899999999751437e+01 W
7.712432882493637710e-13 4.799999999999998934e+00 1.515117382531065289e+02 4.282304175743696373e-01 1.428099999999752434e+01 W
9.437292714448246238e-13 4.899999999999998579e+00 1.525056569225501448e+02 4.347958275464568478e-01 1.426299999999753432e+01 W
8.862251159513044337e-13 4.999999999999999112e+00 1.534863285504718817e+02 4.413129785747412215e-01 1.424699999999754318e+01 W
8.544617546381014336e-13 5.099999999999998757e+00 1.544542007908202663e+02 4.477827021359143123e-01 1.423199999999755150e+01 W
9.690821640201984093e-13 5.199999999999999289e+00 1.554096977839513727e+02 4.542058000799634176e-01 1.421799999999755926e+01 W
9.508296064002789602e-13 5.299999999999998934e+00 1.563532218168165002e+02 4.605830487059570655e-01 1.420499999999756646e+01 W
9.215485976051366797e-13 5.399999999999998579e+00 1.572851548370181831e+02 4.669152050847464319e-01 1.419299999999757311e+01 W
8.712433203142430970e-13 5.499999999999999112e+00 1.582058598360493988e+02 4.732030019794952747e-01 1.418199999999757921e+01 W
7.905635476097364579e-13 5.599999999999998757e+00 1.591156821151778331e+02 4.794471488695995487e-01 1.417199999999758475e+01 W
9.749189577332469734e-13 5.699999999999999289e+00 1.600149504458385650e+02 4.856483377159028225e-01 1.416199999999759029e+01 W
9.688766766597365930e-13 5.799999999999998934e+00 1.609039781350110161e+02 4.918072395901219029e-01 1.415299999999759528e+01 W
9.023621292085725951e-13 5.899999999999998579e+00 1.617830640048563566e+02 4.979245077361572624e-01 1.414499999999759972e+01 W
7.723319527290655553e-13 5.999999999999999112e+00 1.626524932948435946e+02 5.040007764194815998e-01 1.413799999999760360e+01 W
7.406452116880965233e-13 6.099999999999998757e+00 1.635125384936792443e+02 5.100366626559943439e-01 1.413099999999760747e+01 W
9.487947685419872651e-13 6.199999999999998401e+00 1.643634601075591206e+02 5.160327673018085815e-01 1.412399999999761135e+01 W
9.223844039348776449e-13 6.299999999999998934e+00 1.652055073705577115e+02 5.219896755193725868e-01 1.411799999999761468e+01 W
9.881567610820062925e-13 6.399999999999998579e+00 1.660389189023588870e+02 5.279079562070335685e-01 1.411199999999761800e+01 W
9.448769450227126531e-13 6.499999999999998224e+00 1.668639233179885650e+02 5.337881625801835783e-01 1.410699999999762078e+01 W
7.926823972246769535e-13 6.599999999999998757e+00 1.676807397937322150e+02 5.396308374658468354e-01 1.410299999999762299e+01 W
7.181574163640202077e-13 6.699999999999998401e+00 1.684895785929994645e+02 5.454365121026333307e-01 1.409899999999762521e+01 W
7.087572164335119067e-13 6.799999999999998934e+00 1.692906415555221713e+02 5.512056928579259774e-01 1.409499999999762743e+01 W
9.204926210062849117e-13 6.899999999999998579e+00 1.700841225529421195e+02 5.569388800411214646e-01 1.409099999999762964e+01 W
6.931298076782608006e-13 6.999999999999998224e+00 1.708702079135486258e+02 5.626365703931029971e-01 1.408799999999763131e+01 W
8.345526886228226069e-13 7.099999999999998757e+00 1.716490768186635307e+02 5.682992317932701321e-01 1.408499999999763297e+01 W
8.789060225609623066e-13 7.199999999999998401e+00 1.724209016729375605e+02 5.739273329950990155e-01 1.408199999999763463e+01 W
7.787361676225856230e-13 7.299999999999998934e+00 1.731858484506110756e+02 5.795213293601646498e-01 1.407999999999763574e+01 W
7.307489297428893239e-13 7.399999999999998579e+00 1.739440770196063113e+02 5.850816697883773898e-01 1.407799999999763685e+01 W
7.287811670719387364e-13 7.499999999999998224e+00 1.746957414451491388e+02 5.906087795570361676e-01 1.407599999999763796e+01 W
7.720292670715514562e-13 7.599999999999998757e+00 1.754409902744678789e+02 5.961030872953028137e-01 1.407399999999763907e+01 W
6.623170761836293961e-13 7.699999999999998401e+00 1.761799668039803350e+02 6.015650053963881305e-01 1.407299999999763962e+01 W
9.683044958056615509e-13 7.799999999999998046e+00 1.769128093302594209e+02 6.069949402721832588e-01 1.407099999999764073e+01 W
9.307704698667115471e-13 7.899999999999998579e+00 1.776396513859560287e+02 6.123932861196073052e-01 1.406999999999764128e+01 W
9.356951531352954002e-13 7.999999999999998224e+00 1.783606219617589090e+02 6.177604304680678338e-01 1.406899999999764184e+01 W
9.790832105711551060e-13 8.099999999999997868e+00 1.790758457153817744e+02 6.230967564338175668e-01 1.406799999999764239e+01 W
8.308592185655312606e-13 8.199999999999999289e+00 1.797854431684856706e+02 6.284026313137178743e-01 1.406799999999764239e+01 W
7.239808240300129782e-13 8.299999999999997158e+00 1.804895308923710218e+02 6.336784197560679788e-01 1.406799999999764239e+01 W
6.503955481809360192e-13 8.399999999999998579e+00 1.811882216832069901e+02 6.389244765464671127e-01 1.406799999999764239e+01 W
8.151196786477628801e-13 8.499999999999998224e+00 1.818816247275047715e+02 6.441411510008896446e-01 1.406699999999764295e+01 W
9.929634930533077745e-13 8.599999999999997868e+00 1.825698457584852861e+02 6.493287833157472821e-01 1.406699999999764295e+01 W
5.930295163545527738e-13 8.699999999999997513e+00 1.832529872039428653e+02 6.544877086419448320e-01 1.406799999999764239e+01 W
6.208729601662968581e-13 8.799999999999998934e+00 1.839311483261585352e+02 6.596182547162746657e-01 1.406799999999764239e+01 W
6.727620387491320042e-13 8.899999999999998579e+00 1.846044253543761329e+02 6.647207409007778178e-01 1.406799999999764239e+01 W
9.498990550110040883e-13 8.999999999999998224e+00 1.852729116103149067e+02 6.697954831642436435e-01 1.406799999999764239e+01 W
8.184060057429935781e-13 9.099999999999997868e+00 1.859366976271581393e+02 6.748427898262805424e-01 1.406899999999764184e+01 W
9.590709209755118656e-13 9.199999999999997513e+00 1.865958712624237705e+02 6.798629628604352382e-01 1.406899999999764184e+01 W
8.674548855114604313e-13 9.299999999999997158e+00 1.872505178050952566e+02 6.848562993692305367e-01 1.406999999999764128e+01 W
8.018434339461116060e-13 9.399999999999998579e+00 1.879007200773625357e+02 6.898230902419476562e-01 1.407099999999764073e+01 W
7.562649811717949788e-13 9.499999999999998224e+00 1.885465585312978760e+02 6.947636216894923500e-01 1.407199999999764017e+01 W
7.282277667092340970e-13 9.599999999999997868e+00 1.891881113407707460e+02 6.996781737071958718e-01 1.407299999999763962e+01 W
7.170550727443592090e-13 9.699999999999997513e+00 1.898254544888812063e+02 7.045670245798647535e-01 1.407399999999763907e+01 W
7.241909316544697104e-13 9.799999999999997158e+00 1.904586618511756910e+02 7.094304414425302019e-01 1.407499999999763851e+01 W
7.443618579739025901e-13 9.899999999999998579e+00 1.910878052748885807e+02 7.142686904328993114e-01 1.407599999999763796e+01 W
