# P, Pc, E, M, R, EoS
9.980930226973290738e-13 5.000000000000000000e-01 7.419550891225760836e+01 9.239121105982965598e-02 7.626600000000010482e+01 ska
9.998732316975595474e-13 5.999999999999999778e-01 7.914046810856464731e+01 9.976347925815844120e-02 4.875799999997706635e+01 ska
9.914605927955598288e-13 6.999999999999999556e-01 8.358145334844246577e+01 1.077751379329294767e-01 3.723400000000392396e+01 ska
9.875090421922558869e-13 7.999999999999999334e-01 8.763264229383121062e+01 1.160344515575678498e-01 3.103800000001495007e+01 ska
9.944790570011663088e-13 8.999999999999999112e-01 9.137161791830990865e+01 1.243654819748470364e-01 2.721700000001028030e+01 ska
9.737800564583503061e-13 9.999999999999998890e-01 9.485380000000000678e+01 1.326788243310957904e-01 2.464700000000713942e+01 ska
9.932035168815935336e-13 1.099999999999999867e+00 9.812032602091868227e+01 1.409265961921108701e-01 2.280800000000489192e+01 ska
9.895433720857029251e-13 1.199999999999999734e+00 1.012026759200289661e+02 1.490827548149634141e-01 2.143400000000321270e+01 ska
9.887628792736292034e-13 1.299999999999999822e+00 1.041255431085830452e+02 1.571334304711201335e-01 2.037100000000191358e+01 ska
9.613563077501101591e-13 1.399999999999999911e+00 1.069086993571428366e+02 1.650717877920678256e-01 1.952700000000088210e+01 ska
9.704900021577511529e-13 1.499999999999999778e+00 1.095682521752839591e+02 1.728951798893466341e-01 1.884100000000004371e+01 ska
9.702832318248457223e-13 1.599999999999999645e+00 1.121175195165109812e+02 1.806034725383120487e-01 1.827399999999935076e+01 ska
9.894983251747837247e-13 1.699999999999999734e+00 1.145676546858049534e+02 1.881980575923935528e-01 1.779799999999876903e+01 ska
9.414022973198188185e-13 1.799999999999999822e+00 1.169281031456414439e+02 1.956812292748286719e-01 1.739399999999827529e+01 ska
9.114299639762280654e-13 1.899999999999999689e+00 1.192069431790865508e+02 2.030558142630476126e-01 1.704699999999785121e+01 ska
9.630618507477856076e-13 1.999999999999999556e+00 1.214111444408879947e+02 2.103249026387096488e-01 1.674499999999748212e+01 ska
9.791961612797419022e-13 2.099999999999999645e+00 1.235467672666380849e+02 2.174917193152571537e-01 1.648099999999715948e+01 ska
9.223572837138139651e-13 2.199999999999999734e+00 1.256191184631442752e+02 2.245595151370910203e-01 1.624899999999687594e+01 ska
8.927532619508540298e-13 2.299999999999999822e+00 1.276328746107595151e+02 2.315314977023914533e-01 1.604299999999662418e+01 ska
8.882883795782257941e-13 2.399999999999999467e+00 1.295921807581606799e+02 2.384107884585216219e-01 1.585899999999664978e+01 ska
9.611968722887152068e-13 2.499999999999999556e+00 1.315007302323595297e+02 2.452004223999160459e-01 1.569299999999674178e+01 ska
8.650054245569487063e-13 2.599999999999999645e+00 1.333618297818998713e+02 2.519033062235681020e-01 1.554499999999682380e+01 ska
9.215767155088635384e-13 2.699999999999999289e+00 1.351784532043346587e+02 2.585222335305263353e-01 1.540999999999689862e+01 ska
8.650591404329866212e-13 2.799999999999999378e+00 1.369532858413132033e+02 2.650598739875765220e-01 1.528799999999696624e+01 ska
8.749757834485385931e-13 2.899999999999999467e+00 1.386887617644673583e+02 2.715187733379253454e-01 1.517599999999702831e+01 ska
8.468325916677562985e-13 2.999999999999999556e+00 1.403870950614412152e+02 2.779013516889085045e-01 1.507399999999708484e+01 ska
8.585139286108899407e-13 3.099999999999999645e+00 1.420503063220743627e+02 2.842099226609265950e-01 1.497999999999713694e+01 ska
9.963235924734262507e-13 3.199999999999999289e+00 1.436802451910349419e+02 2.904466858049229994e-01 1.489299999999718516e+01 ska
8.569983523666381911e-13 3.299999999999999378e+00 1.452786096748466775e+02 2.966137463655456052e-01 1.481399999999722894e+01 ska
8.878083012732672006e-13 3.399999999999999467e+00 1.468469627538777900e+02 3.027130921393138552e-01 1.473999999999726995e+01 ska
9.658536275307336806e-13 3.499999999999999112e+00 1.483867467431258262e+02 3.087466307467737758e-01 1.467099999999730819e+01 ska
8.401071770244340024e-13 3.599999999999999201e+00 1.498992957620297091e+02 3.147161751361391979e-01 1.460799999999734311e+01 ska
9.491884632542326514e-13 3.699999999999999289e+00 1.513858466075557772e+02 3.206234573556472900e-01 1.454799999999737636e+01 ska
9.542095418512484744e-13 3.799999999999999378e+00 1.528475482723538619e+02 3.264701311416097207e-01 1.449299999999740685e+01 ska
9.349924591114510313e-13 3.899999999999999467e+00 1.542854703078025409e+02 3.322577738791318569e-01 1.444099999999743567e+01 ska
8.387922943972999442e-13 3.999999999999999112e+00 1.557006101979592643e+02 3.379878954161785742e-01 1.439299999999746227e+01 ska
8.392622990891794472e-13 4.099999999999999645e+00 1.570938998830405353e+02 3.436619344973410595e-01 1.434799999999748721e+01 ska
8.329411629854025967e-13 4.199999999999999289e+00 1.584662115487413985e+02 3.492812787175521572e-01 1.430499999999751104e+01 ska
8.737320583428345313e-13 4.299999999999998934e+00 1.598183627794243193e+02 3.548472454035611068e-01 1.426499999999753321e+01 ska
8.564122605382366453e-13 4.399999999999998579e+00 1.611511211581529892e+02 3.603611034040585803e-01 1.422699999999755427e+01 ska
9.675857565481987055e-13 4.499999999999999112e+00 1.624652083840970533e+02 3.658240674861208408e-01 1.419099999999757422e+01 ska
8.399040312904674187e-13 4.599999999999998757e+00 1.637613039674806146e+02 3.712373050556549980e-01 1.415799999999759251e+01 ska
8.203383054787069367e-13 4.699999999999999289e+00 1.650400485536095800e+02 3.766019355622214349e-01 1.412599999999761025e+01 ska
7.680919830971829070e-13 4.799999999999998934e+00 1.663020469202672587e+02 3.819190344940778248e-01 1.409599999999762687e+01 ska
9.000424696659234822e-13 4.899999999999998579e+00 1.675478706866738889e+02 3.871896394604495417e-01 1.406699999999764295e+01 ska
9.739339113166667458e-13 4.999999999999999112e+00 1.687780607670523807e+02 3.924147437114275938e-01 1.403999999999765791e+01 ska
9.853972102152276159e-13 5.099999999999998757e+00 1.699931295974785428e+02 3.975953105257680753e-01 1.401399999999767232e+01 ska
8.924476861692900289e-13 5.199999999999999289e+00 1.711935631609746622e+02 4.027322563624207152e-01 1.398999999999768562e+01 ska
8.297494795019551956e-13 5.299999999999998934e+00 1.723798228326347726e+02 4.078264782588875703e-01 1.396699999999769837e+01 ska
7.874240804016225050e-13 5.399999999999998579e+00 1.735523470638519257e+02 4.128788280946283917e-01 1.394499999999771056e+01 ska
7.506229301410850860e-13 5.499999999999999112e+00 1.747115529223816282e+02 4.178901347516752462e-01 1.392399999999772220e+01 ska
8.317335936131252221e-13 5.599999999999998757e+00 1.758578375029665324e+02 4.228612072011459500e-01 1.390399999999773328e+01 ska
7.842343996221419343e-13 5.699999999999999289e+00 1.769915792215059298e+02 4.277928086818847397e-01 1.388499999999774381e+01 ska
9.970435409648463113e-13 5.799999999999998934e+00 1.781131390042492626e+02 4.326856897406116120e-01 1.386599999999775434e+01 ska
7.699995286495904127e-13 5.899999999999998579e+00 1.792228613821831402e+02 4.375405708066251731e-01 1.384899999999776377e+01 ska
9.220507962989796231e-13 5.999999999999999112e+00 1.803210754996411822e+02 4.423581533136867194e-01 1.383199999999777319e+01 ska
9.022194839260625374e-13 6.099999999999998757e+00 1.814080960451707938e+02 4.471391110971293381e-01 1.381599999999778206e+01 ska
8.317938469224195343e-13 6.199999999999998401e+00 1.824842241118198558e+02 4.518840985825706702e-01 1.380099999999779037e+01 ska
7.094166469241479815e-13 6.299999999999998934e+00 1.835497479932414251e+02 4.565937540168870101e-01 1.378699999999779813e+01 ska
9.827473889134233988e-13 6.399999999999998579e+00 1.846049439213432493e+02 4.612686890670684714e-01 1.377199999999780644e+01 ska
8.798759501201088743e-13 6.499999999999998224e+00 1.856500767506165914e+02 4.659095018769061625e-01 1.375899999999781365e+01 ska
8.716957973613878634e-13 6.599999999999998757e+00 1.866854005937557019e+02 4.705167697429040730e-01 1.374599999999782085e+01 ska
7.851367840057556283e-13 6.699999999999998401e+00 1.877111594127175636e+02 4.750910550247466335e-01 1.373399999999782750e+01 ska
7.804197648702495784e-13 6.799999999999998934e+00 1.887275875689614963e+02 4.796329038283218549e-01 1.372199999999783415e+01 ska
6.887696646755927601e-13 6.899999999999998579e+00 1.897349103362437859e+02 4.841428440088316187e-01 1.371099999999784025e+01 ska
9.911452009774733605e-13 6.999999999999998224e+00 1.907333443790192860e+02 4.886213907787854693e-01 1.369899999999784690e+01 ska
7.185553921608789969e-13 7.099999999999998757e+00 1.917230981992126715e+02 4.930690440762999227e-01 1.368899999999785244e+01 ska
6.709439505677405680e-13 7.199999999999998401e+00 1.927043725538659089e+02 4.974862900629848927e-01 1.367899999999785798e+01 ska
8.270447476128841751e-13 7.299999999999998934e+00 1.936773608459354818e+02 5.018736016915449349e-01 1.366899999999786353e+01 ska
9.142499617186362728e-13 7.399999999999998579e+00 1.946422494903094957e+02 5.062314390871173186e-01 1.365899999999786907e+01 ska
8.770290115575499571e-13 7.499999999999998224e+00 1.955992182569275712e+02 5.105602509340109174e-01 1.364999999999787406e+01 ska
7.181265925701612965e-13 7.599999999999998757e+00 1.965484405927216471e+02 5.148604721319803845e-01 1.364199999999787849e+01 ska
9.626073763951174232e-13 7.699999999999998401e+00 1.974900839239441552e+02 5.191325278082484784e-01 1.363299999999788348e+01 ska
7.529226916801559363e-13 7.799999999999998046e+00 1.984243099403180395e+02 5.233768370951298321e-01 1.362499999999788791e+01 ska
9.205327524664462848e-13 7.899999999999998579e+00 1.993512748623189168e+02 5.275937966464319118e-01 1.361699999999789235e+01 ska
9.879819989537614637e-13 7.999999999999998224e+00 2.002711296927905948e+02 5.317838031879652538e-01 1.360899999999789678e+01 ska
8.964459684263728327e-13 8.099999999999997868e+00 2.011840204539970216e+02 5.359472366417413758e-01 1.360199999999790066e+01 ska
8.621088871250010347e-13 8.199999999999999289e+00 2.020900884111207745e+02 5.400844775276021359e-01 1.359499999999790454e+01 ska
8.756024319950952707e-13 8.299999999999997158e+00 2.029894702831393261e+02 5.441958849380913454e-01 1.358799999999790842e+01 ska
7.341154543814409090e-13 8.399999999999998579e+00 2.038822984419349780e+02 5.482818164689470253e-01 1.358199999999791174e+01 ska
6.431926411733006054e-13 8.499999999999998224e+00 2.047687011004257727e+02 5.523426223044013428e-01 1.357599999999791507e+01 ska
7.771541449926867471e-13 8.599999999999997868e+00 2.056488024904452629e+02 5.563786397669058248e-01 1.356899999999791895e+01 ska
7.601748014114951865e-13 8.699999999999997513e+00 2.065227230310419202e+02 5.603902050837384907e-01 1.356299999999792227e+01 ska
9.610994153139178695e-13 8.799999999999998934e+00 2.073905794878175755e+02 5.643776370602897607e-01 1.355699999999792560e+01 ska
6.437702538642829154e-13 8.899999999999998579e+00 2.082524851238781309e+02 5.683412555912402686e-01 1.355199999999792837e+01 ska
9.100641387833967990e-13 8.999999999999998224e+00 2.091085498429275447e+02 5.722813693934694079e-01 1.354599999999793170e+01 ska
8.304614812594949311e-13 9.099999999999997868e+00 2.099588803249961302e+02 5.761982815883066600e-01 1.354099999999793447e+01 ska
7.882841669503696558e-13 9.199999999999997513e+00 2.108035801552585156e+02 5.800922878601812993e-01 1.353599999999793724e+01 ska
7.792050123975535170e-13 9.299999999999997158e+00 2.116427499463646882e+02 5.839636781945428678e-01 1.353099999999794001e+01 ska
8.023375164417471225e-13 9.399999999999998579e+00 2.124764874546768567e+02 5.878127354781811365e-01 1.352599999999794278e+01 ska
8.601361120702640065e-13 9.499999999999998224e+00 2.133048876907761269e+02 5.916397380666249539e-01 1.352099999999794555e+01 ska
7.259962145058315710e-13 9.599999999999997868e+00 2.141280430245801085e+02 5.954449558442591606e-01 1.351699999999794777e+01 ska
6.287383605425920583e-13 9.699999999999997513e+00 2.149460432853861960e+02 5.992286572334153405e-01 1.351299999999794998e+01 ska
7.634446874770091916e-13 9.799999999999997158e+00 2.157589758571359937e+02 6.029911004901368221e-01 1.350799999999795276e+01 ska
7.142699122487602415e-13 9.899999999999998579e+00 2.165669257691747305e+02 6.067325411244952615e-01 1.350399999999795497e+01 ska
